"Status of existing checking account","Credit history","Savings account/bonds","Present employment since","Installment rate in percentage of disposable income","Personal status and sex","Other debtors / guarantors","Present residence since","Property","Age in years","Other installment plans","Housing","Number of existing credits at this bank","Job","Number of people being liable to provide maintenance for","Telephone","Foreign worker","Score","ClientID"
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",3,"male (single)","none",1,"real estate",30,"none","own",2,"skilled employee / official",1,"none","Yes","good",22319
"No checking account","critical account/ other credits existing (not at this bank)","500 to 1000","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",42,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",22332
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",1,"car or other",23,"bank","own",1,"skilled employee / official",1,"none","Yes","good",22345
"0 - 200","delay in paying off in the past","100 to 500","less than 1 year",4,"male (single)","none",3,"unknown / no property",30,"stores","own",2,"management / self-employed / highly qualified employee / officer",1,"none","Yes","bad",22358
"Over 200","existing credits paid back duly till now","less than 100","1 to 4 years",3,"female (divorced/separated/married)","none",2,"real estate",28,"none","own",1,"unskilled - resident",1,"none","Yes","bad",22371
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",4,"male (married/widowed)","none",3,"car or other",30,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",22384
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (single)","none",4,"unknown / no property",42,"none","for free",1,"skilled employee / official",1,"none","Yes","bad",22397
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","1 to 4 years",2,"male (single)","none",4,"building society savings agreement/ life insurance",46,"none","own",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good",22410
"No checking account","existing credits paid back duly till now","unknown / no savings account","less than 1 year",2,"male (single)","none",3,"building society savings agreement/ life insurance",45,"none","own",1,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good",22423
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",3,"male (single)","none",2,"real estate",31,"none","own",1,"unskilled - resident",2,"none","No","good",22436
"No checking account","existing credits paid back duly till now","unknown / no savings account","4 to 7 years",4,"male (single)","none",2,"car or other",31,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",22449
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",2,"male (single)","none",1,"real estate",42,"none","own",3,"unskilled - resident",2,"none","Yes","good",22462
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","guarantor",1,"building society savings agreement/ life insurance",46,"none","rent",1,"skilled employee / official",1,"none","Yes","good",22475
"0 - 200","no credits taken / all credits paid back duly","500 to 1000","less than 1 year",1,"female (divorced/separated/married)","none",1,"car or other",30,"none","own",2,"skilled employee / official",1,"none","Yes","good",22488
"Negative","all credits at this bank paid back duly","500 to 1000","less than 1 year",4,"male (single)","none",4,"unknown / no property",30,"none","for free",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","bad",22501
"No checking account","existing credits paid back duly till now","unknown / no savings account","Unemployed",4,"male (single)","none",4,"unknown / no property",38,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",22514
"No checking account","existing credits paid back duly till now","less than 100","less than 1 year",4,"male (married/widowed)","co-Applicant",1,"building society savings agreement/ life insurance",43,"none","own",1,"unskilled - resident",2,"none","Yes","bad",22527
"No checking account","existing credits paid back duly till now","100 to 500","more than 7 years",2,"male (single)","none",4,"car or other",31,"none","own",2,"skilled employee / official",1,"none","Yes","bad",22540
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","Unemployed",3,"male (married/widowed)","none",3,"car or other",40,"none","own",3,"unemployed / unskilled - non-resident",2,"yes, registered under the customers name","Yes","good",22553
"Negative","delay in paying off in the past","less than 100","4 to 7 years",2,"male (single)","none",1,"car or other",24,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",22566
"0 - 200","existing credits paid back duly till now","500 to 1000","less than 1 year",3,"female (divorced/separated/married)","none",4,"car or other",28,"none","rent",1,"skilled employee / official",1,"none","Yes","bad",22579
"No checking account","existing credits paid back duly till now","less than 100","Unemployed",4,"female (divorced/separated/married)","none",2,"car or other",26,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",22592
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",4,"female (divorced/separated/married)","guarantor",4,"building society savings agreement/ life insurance",29,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",22605
"Negative","critical account/ other credits existing (not at this bank)","more than 1000","more than 7 years",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",57,"none","rent",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",22618
"Over 200","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",49,"stores","own",2,"unskilled - resident",1,"none","Yes","good",22631
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",2,"male (single)","none",4,"real estate",37,"none","own",3,"unskilled - resident",1,"none","Yes","good",22644
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",3,"male (single)","none",2,"car or other",45,"none","own",1,"unskilled - resident",1,"none","Yes","bad",22657
"0 - 200","existing credits paid back duly till now","100 to 500","more than 7 years",4,"male (single)","none",4,"unknown / no property",30,"none","for free",1,"skilled employee / official",1,"none","Yes","good",22670
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",2,"male (married/widowed)","none",2,"real estate",30,"none","rent",2,"skilled employee / official",1,"none","Yes","good",22683
